;ID_natural;SMILES;NumAtoms;MolWt;MolLogp;HAcceptors;HDonors;RindCount;tpsa;RotableBonds;MolecularFormula
1830;SN0000905;CC(=O)Nc1ccc(-c2ccc(=O)n3c2[C@@H]2C[C@@H](CN(C(=O)Nc4cccc(C#N)c4)C2)C3)cc1;35;467.19573966;3.9965800000000025;5;2;5;107.22999999999999;3;C27H25N5O3
1831;SN0000907;C=C1CCC=C(C)CCC(O)C2(C)CCC(=CC1O)C(C)(C)O2;23;320.23514488399996;4.058800000000003;3;2;3;49.69;0;C20H32O3
1832;SN0000907;C=C1CC/C=C(\C)CCC(O)C2(C)CC/C(=C\C1O)C(C)(C)O2;23;320.23514488399996;4.058800000000003;3;2;3;49.69;0;C20H32O3
1833;SN0000907;C=C1CC/C=C(\C)CC[C@@H](O)[C@@]2(C)CC/C(=C\[C@H]1O)C(C)(C)O2;23;320.23514488399996;4.058800000000003;3;2;3;49.69;0;C20H32O3
1834;SN0000908;CC(C)=CCc1c(OC2OC(CO)C(O)C(O)C2O)cc(O)c2c(=O)c(OC3OC(C)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1835;SN0000908;CC(C)=CCc1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)cc(O)c2c(=O)c(O[C@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1836;SN0000908;CC(C)=CCc1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)cc(O)c2c(=O)c(O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1837;SN0000908;CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c2c(=O)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1838;SN0000908;CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c2c(=O)c(O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1839;SN0000908;CC(C)=CCc1c(O[C@@H]2OC(CO)[C@@H](O)[C@H](O)C2O)cc(O)c2c(=O)c(O[C@@H]3OC(C)[C@H](O)C(O)[C@@H]3O[C@@H]3OC(C)[C@H](O)C(O)[C@@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1840;SN0000908;CC(C)=CCc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c2c(=O)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1841;SN0000908;CC(C)=CCc1c(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc(O)c2c(=O)c(O[C@@H]3O[C@H](C)[C@H](O)[C@@H](O)[C@@H]3O[C@@H]3O[C@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(-c3ccc(O)cc3)oc12;57;808.278979316;-1.3832999999999973;19;11;6;308.11999999999995;10;C38H48O19
1842;SN0000910;CC(=O)OCC1C(O)CC2C(COC3OC(CO)C(O)C(=O)C3OC3OC(C)C(O)C(O)C3O)=COC(OC(=O)CC(C)C)C21;45;648.2629353279998;-2.1312999999999915;16;6;4;237.19999999999993;11;C29H44O16
1843;SN0000910;CC(=O)OC[C@@H]1[C@H]2[C@H](OC(=O)CC(C)C)OC=C(CO[C@@H]3O[C@H](CO)[C@@H](O)C(=O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H]2C[C@@H]1O;45;648.2629353279999;-2.131299999999994;16;6;4;237.19999999999996;11;C29H44O16
